Gene_Symb,Transcription_Level,Hotpoint_Mutation,CRISPR_KO_Effect,Differentiation_Rate
GSN,NA/N,NA/N,NA/N,NA/N
MAP3K4,NA/N,NA/N,NA/N,NA/N
DNLZ,NA/N,NA/N,NA/N,NA/N
MYH10,NA/N,NA/N,NA/N,NA/N
TPM1,NA/N,NA/N,NA/N,NA/N
DBN1,NA/N,NA/N,NA/N,NA/N
ANLN,NA/N,NA/N,NA/N,NA/N
SMARCD1,NA/N,NA/N,NA/N,NA/N
ARID1A,NA/N,NA/N,NA/N,NA/N
SMARCB1,NA/N,NA/N,NA/N,NA/N
SNRNP70,NA/N,NA/N,NA/N,NA/N
ACTG1,NA/N,NA/N,NA/N,NA/N
DISC1,NA/N,NA/N,NA/N,NA/N
VCL,NA/N,NA/N,NA/N,NA/N
MLH1,NA/N,NA/N,NA/N,NA/N
ACTL6A,NA/N,NA/N,NA/N,NA/N
MYC,NA/N,NA/N,NA/N,NA/N
SMARCA2,NA/N,NA/N,NA/N,NA/N
TRRAP,NA/N,NA/N,NA/N,NA/N
SMARCA4,NA/N,NA/N,NA/N,NA/N
KAT5,NA/N,NA/N,NA/N,NA/N
BRD8,NA/N,NA/N,NA/N,NA/N
DMAP1,NA/N,NA/N,NA/N,NA/N
MORF4L1,NA/N,NA/N,NA/N,NA/N
MORF4L2,NA/N,NA/N,NA/N,NA/N
PBRM1,NA/N,NA/N,NA/N,NA/N
SMARCC1,NA/N,NA/N,NA/N,NA/N
SMARCC2,NA/N,NA/N,NA/N,NA/N
SMARCD2,NA/N,NA/N,NA/N,NA/N
YEATS4,NA/N,NA/N,NA/N,NA/N
EPC1,NA/N,NA/N,NA/N,NA/N
INO80C,NA/N,NA/N,NA/N,NA/N
ACTR5,NA/N,NA/N,NA/N,NA/N
TFPT,NA/N,NA/N,NA/N,NA/N
INO80,NA/N,NA/N,NA/N,NA/N
NFRKB,NA/N,NA/N,NA/N,NA/N
ARID1B,NA/N,NA/N,NA/N,NA/N
RPRD1B,NA/N,NA/N,NA/N,NA/N
CCT3,NA/N,NA/N,NA/N,NA/N
TCP1,NA/N,NA/N,NA/N,NA/N
HDGFL2,NA/N,NA/N,NA/N,NA/N
HINT1,NA/N,NA/N,NA/N,NA/N
CYB5R3,NA/N,NA/N,NA/N,NA/N
FEN1,NA/N,NA/N,NA/N,NA/N
ACTL6B,NA/N,NA/N,NA/N,NA/N
CTBP1,NA/N,NA/N,NA/N,NA/N
ACTN1,NA/N,NA/N,NA/N,NA/N
CAMK2A,NA/N,NA/N,NA/N,NA/N
ADORA2A,NA/N,NA/N,NA/N,NA/N
EZR,NA/N,NA/N,NA/N,NA/N
ACTN2,NA/N,NA/N,NA/N,NA/N
ACTN4,NA/N,NA/N,NA/N,NA/N
DYSF,NA/N,NA/N,NA/N,NA/N
ACTN3,NA/N,NA/N,NA/N,NA/N
COL17A1,NA/N,NA/N,NA/N,NA/N
CAMK2G,NA/N,NA/N,NA/N,NA/N
MAGI1,NA/N,NA/N,NA/N,NA/N
TJP1,NA/N,NA/N,NA/N,NA/N
ESR1,NA/N,NA/N,NA/N,NA/N
IQGAP1,NA/N,NA/N,NA/N,NA/N
DCTN4,NA/N,NA/N,NA/N,NA/N
ACTR1A,NA/N,NA/N,NA/N,NA/N
